"Id","SalePrice"
1461,212696.715548006
1462,182436.856292434
1463,215596.118667421
1464,137798.665526769
1465,126279.845028317
1466,133659.080587119
1467,156909.150378521
1468,333228.341874897
1469,102822.76920951
1470,161665.441128555
1471,285407.617208902
1472,308912.078620301
1473,152126.996171264
1474,148169.547308755
1475,148899.299134394
1476,129585.565773744
1477,176062.965841437
1478,188385.317370532
1479,180386.604866578
1480,193588.795852716
1481,120090.972085406
1482,195817.602048242
1483,227422.700937601
1484,194853.950811911
1485,220067.314247447
1486,87891.9644383336
1487,217085.735045102
1488,251882.926566347
1489,115270.826157332
1490,91563.1964385985
1491,119094.726246431
1492,201402.031468535
1493,161396.021390717
1494,170335.328599055
1495,102652.988608263
1496,90883.6222517035
1497,212901.553791949
1498,106638.788319422
1499,197917.000735581
1500,312122.497755309
1501,147104.466616081
1502,157900.275171808
1503,143928.367540398
1504,217867.2617826
1505,181908.482554325
1506,209591.825500921
1507,132890.140830542
1508,112864.030645991
1509,129899.93359875
1510,345335.317752299
1511,227088.785738158
1512,246992.553442407
1513,144087.196977266
1514,188013.177058262
1515,155128.974837449
1516,214081.56806974
1517,167760.19696917
1518,180904.921559157
1519,278094.120676496
1520,119229.856913945
1521,319793.406914594
1522,164334.276731104
1523,143502.918146499
1524,269111.077177522
1525,147867.023325243
1526,174728.28855667
1527,173140.892247942
1528,202491.846162952
1529,208011.451564537
1530,173678.639943859
1531,202426.759638517
1532,295842.135926812
1533,254625.031425753
1534,86919.4013096642
1535,144897.496560964
1536,187909.152432084
1537,242872.961794083
1538,180910.101359281
1539,165894.925783433
1540,223594.506088175
1541,80862.0158634226
1542,189017.596644762
1543,128406.425552671
1544,296880.199186702
1545,121152.163747469
1546,386436.950458249
1547,187102.54990874
1548,241121.039004045
1549,144082.19806198
1550,234275.273139833
1551,152900.592876847
1552,352097.09145045
1553,127753.084483485
1554,180621.115120577
1555,257960.407090528
1556,293855.730845231
1557,334753.962909643
1558,346279.113140569
1559,146446.733488005
1560,85915.0558552706
1561,136101.498157223
1562,194862.528550551
1563,215787.228271815
1564,273878.918001529
1565,92872.7704985989
1566,148070.006019723
1567,159396.533681503
1568,171000.833949502
1569,429261.209745856
1570,197816.552108584
1571,116632.739630336
1572,140096.472185579
1573,318601.910375418
1574,373998.894175729
1575,175882.825646285
1576,195634.260103917
1577,187412.48407748
1578,127790.41556786
1579,122842.79352843
1580,222905.95418548
1581,116792.863476545
1582,161595.204038681
1583,67916.3511555141
1584,137123.301985153
1585,131095.900196076
1586,93299.6027536122
1587,207716.550033463
1588,393436.757600019
1589,217906.723110418
1590,272099.833705162
1591,208950.567539924
1592,180085.072076416
1593,248101.794378525
1594,155083.553648738
1595,154399.579178678
1596,140091.629262648
1597,378800.786145829
1598,97353.3404371163
1599,142076.108867138
1600,148086.925542674
1601,181753.977851662
1602,168518.669271437
1603,99214.8473649946
1604,352529.866138528
1605,272171.520446956
1606,130650.682389722
1607,167106.995981312
1608,121187.363374548
1609,394999.358316972
1610,273370.049354581
1611,203087.861716119
1612,192656.318640559
1613,135895.346190146
1614,255881.085256375
1615,127744.519178553
1616,118959.99869383
1617,105104.722360163
1618,144034.775545016
1619,203514.918216063
1620,171301.928668054
1621,180454.373847403
1622,317100.215719795
1623,137260.767013855
1624,119350.550386349
1625,153854.431892534
1626,333429.421556254
1627,137903.027326039
1628,174736.422097127
1629,145908.503073141
1630,117883.900855493
1631,189412.591663671
1632,222864.512788892
1633,155919.361150473
1634,175287.021814379
1635,109864.889569972
1636,314136.459656771
1637,247900.914730022
1638,157234.310918518
1639,146461.482665024
1640,100897.573801659
1641,155186.111718807
1642,362392.688026672
1643,154734.025832773
1644,107739.13385081
1645,194008.651880294
1646,383754.025542852
1647,138895.398545637
1648,181323.904328681
1649,213122.15341474
1650,235764.185237751
1651,116374.778600175
1652,134237.367914483
1653,96892.6335869684
1654,131388.848154792
1655,320411.760862347
1656,366676.642747782
1657,180347.873805614
1658,110658.015429138
1659,151132.798314062
1660,167403.218050379
1661,267105.339754585
1662,141181.647529577
1663,224826.701341407
1664,200847.347477591
1665,170672.076163348
1666,195646.833659799
1667,136906.932728405
1668,176473.037467357
1669,252495.150388482
1670,267638.189056222
1671,208959.019421185
1672,122995.770419368
1673,336113.23185257
1674,262124.259978433
1675,270372.241771108
1676,160972.410699131
1677,136088.445341019
1678,236088.092560998
1679,249345.514322466
1680,202336.337108009
1681,163080.616319892
1682,135593.124492415
1683,110088.260968509
1684,142976.159724884
1685,154407.911487318
1686,113888.922731154
1687,129096.273655118
1688,100893.270371514
1689,139385.300033415
1690,225512.451893088
1691,347827.511426317
1692,192894.461311388
1693,152983.833567495
1694,233362.68043456
1695,167018.298334648
1696,143049.113262133
1697,200230.521968821
1698,153117.342276704
1699,153325.281409993
1700,133110.842243142
1701,235643.419279208
1702,342094.384048586
1703,112233.285216367
1704,171335.262577456
1705,158953.347451435
1706,142024.500268962
1707,146036.588973937
1708,120074.87604192
1709,95897.2382671825
1710,245868.54835033
1711,193094.694366089
1712,177910.123458064
1713,200860.593092001
1714,145415.144005072
1715,149024.519100337
1716,277914.932617586
1717,187239.865753007
1718,137075.043508375
1719,124069.036917799
1720,268994.100591847
1721,214712.36601602
1722,152104.250688867
1723,142174.957343546
1724,112136.944843499
1725,407748.00606211
1726,200613.28144899
1727,345396.013167839
1728,198087.272196215
1729,144802.600359997
1730,171376.37356563
1731,162753.092442939
1732,168087.078697365
1733,94901.8497659222
1734,279120.879756467
1735,123403.601044488
1736,270086.922626618
1737,140818.764175923
1738,178717.131604308
1739,146093.956309723
1740,166154.332273407
1741,127116.994733834
1742,154364.085370743
1743,147994.036396169
1744,132065.379813127
1745,157017.208616955
1746,154910.787999985
1747,168516.780751335
1748,115180.114503992
1749,132304.551680022
1750,106631.112426806
1751,197117.844586409
1752,123313.457455339
1753,109076.846908205
1754,125794.17010848
1755,215747.853728199
1756,251094.546471085
1757,208174.241831106
1758,133569.915023818
1759,172569.147749125
1760,106710.264004486
1761,111438.626572392
1762,411690.704688851
1763,89232.1480509499
1764,141082.922124027
1765,170829.333109352
1766,110980.470809028
1767,150904.364683114
1768,157792.633345243
1769,210096.201604165
1770,209885.147819937
1771,121079.318652796
1772,225260.290390156
1773,178869.138496251
1774,170897.00397489
1775,127418.466524757
1776,301930.734479894
1777,127916.534499641
1778,112804.032099084
1779,195257.935710509
1780,167327.478380036
1781,219629.302759083
1782,151908.752371978
1783,279788.572382443
1784,171910.045895946
1785,126600.358257118
1786,116597.123555049
1787,122910.870904842
1788,150589.341768399
1789,134133.117704791
1790,167597.033313033
1791,222103.360483855
1792,194426.292417001
1793,125269.526422369
1794,363774.112481704
1795,347519.821346466
1796,137922.85172225
1797,175000.611469864
1798,224099.417108955
1799,194625.247262573
1800,152213.394146951
1801,315179.999703904
1802,196288.429251466
1803,294105.637285602
1804,318202.562580679
1805,121114.887081807
1806,202680.933201634
1807,287598.514021855
1808,264773.628743523
1809,118907.314961232
1810,117086.309650313
1811,141081.828973676
1812,122506.856273632
1813,162863.598007105
1814,181754.798115666
1815,115176.010683212
1816,157787.705154401
1817,200911.804136456
1818,237153.64553718
1819,112898.451347155
1820,449359.399513667
1821,98480.4045534244
1822,90878.3263561119
1823,66391.2935157159
1824,229591.855657218
1825,150261.498011229
1826,143865.830295891
1827,361687.717533635
1828,123129.164394189
1829,128038.58971679
1830,155090.189798671
1831,289139.481473968
1832,145355.150379537
1833,186016.47656253
1834,112902.290649742
1835,267111.049278715
1836,118168.469750123
1837,219114.866097314
1838,226759.323129187
1839,199076.56153099
1840,187164.69324753
1841,131877.212142231
1842,230903.682430017
1843,136082.489608067
1844,149903.703477314
1845,263107.433457518
1846,121532.437001963
1847,73290.324068249
1848,192407.124716826
1849,153524.629740408
1850,171687.198583072
1851,189099.46761893
1852,189753.767822538
1853,261019.183046465
1854,279202.702281859
1855,140012.196199417
1856,192923.602448273
1857,175153.776916465
1858,149107.304488714
1859,155383.84133583
